ballpark,park_factor,g_home
las_vegas_ballpark,1.1052456538170823,75
greater_nevada_field,1.2665674637505624,74
cheney_stadium,1.0524433849821215,75
rio_grande_credit_union_field_at_isotopes_park,1.2935672514619883,75
southwest_university_park,1.221794871794872,75
chickasaw_bricktown_ballpark,0.7776523702031604,75
sutter_health_park,0.637,75
constellation_field,0.799716478165737,74
dell_diamond,0.9387500000000001,74
smiths_ballpark,1.0172325485336637,75
nbt_bank_stadium,1.112314566577301,75
huntington_park,1.0288417329796642,75
durham_bulls_athletic_park,0.8992718446601943,75
werner_park,1.0672352850776088,72
coca_cola_park,1.0761824165491303,75
chs_field,1.1382648401826485,73
principal_park,1.3616692426584234,75
autozone_park,1.0367160416010084,76
polar_park,0.9877750611246944,75
pnc_field,1.1649471264367817,75
truist_field,1.1252337161826993,73
louisville_slugger_field,1.003188627821223,73
harbor_park,0.8055865921787709,75
vystar_ballpark,0.9709165687426556,74
innovative_field,0.8494613172134744,73
sahlen_field,0.8954869358669834,74
victory_field,0.9880591223366728,76
fifth_third_field,0.8957575757575758,75
coolray_field,0.9139723277654314,74
first_horizon_park,0.8377358490566037,72
